Pattern String,Pattern Category,predicted_predicate
You may cancel your VIP membership at any time by calling 1-866-337-0906 (open 24/7).,Obstruction,"require_customer_service_interaction(service, action)"
"IF YOU PARTICIPATE IN AN AUTOMATIC RENEWAL SUBSCRIPTION AND YOU HAVE PROVIDED US WITH A VALID CREDIT CARD NUMBER OR AN ALTERNATE PAYMENT METHOD, EACH SHIPMENT WILL BE AUTOMATICALLY PROCESSED AT THE TIME OF EACH SHIPMENT OR INSTALLMENT AND WILL BE BILLED TO THE PAYMENT METHOD YOU PROVIDED TO US AT THE TIME OF YOUR INITIAL PURCHASE AND AGREEMENT TO PARTICIPATE IN THE PROGRAM. IF YOU WISH TO CANCEL YOUR PARTICIPATION IN AN AUTOMATIC RENEWAL SUBSCRIPTION, YOU MAY DO SO AT ANY TIME BY CONTACTING A CUSTOMER CARE PROFESSIONAL AT THE CONTACT INFORMATION PROVIDED ON THE WEBSITE.",Obstruction,"require_customer_service_interaction(service, action)"
"You may cancel or renew your membership to the VIP Program or find out more information about your VIP Program subscription, including your annual expiration date, by contacting support@grove.co.",Obstruction,"require_customer_service_interaction(service, action)"
"""No Worry"" Membership Renewal We will bill your credit card on file at the introductory rate of $2.99 per month for the first year, for membership rewards and discounts. At the end of the introductory period, you'll be billed at the regular monthly rate of $3.99 per month. If you don't want your membership renewed, simply contact us and we will cancel your subscription. You will be refunded for the current month's membership fee, less any membership savings you have received. Exclusive Toll-Free Hotline Number Because we want your calls to get top priority, we have a special number for Value Club members only: 1-800-648-4282. Your call will be handled with the utmost promptness, courtesy and efficiency possible.",Obstruction,"require_customer_service_interaction(service, action)"
"If your JR Plus membership has renewed automatically, you have seven (7) days after payment is taken to cancel your annual membership. You must contact Customer Service at (888) 574-3576 within this window and not have made any eligible purchase using the JR Plus service. You will then be provided with a full refund of your membership fee for the renewal year and the JR Plus service will be cancelled from your account. If you cancel during any renewal year after the seven (7) day window expires, you are not entitled to any refund of the renewal fee, even if you have not made any eligible purchase during the renewal term.",Obstruction,"require_customer_service_interaction(service, action)"
"You may cancel your JustFab VIP Membership at any time. There is absolutely no cancellation fee. If you would like to continue receiving selections, then just skip the month by clicking Skip This Month in your Boutique between the 1st and the 5th of the month. You won't be charged and no member credit will be generated for you. If you no longer want to skip the month, then call our Fashion Consultants on 020 36953830 (local rate) Mon-Fri 8:00AM to 8:00PM and Sat-Sun 10:00AM to 6:00PM or cancel your membership via chat.",Obstruction,"require_customer_service_interaction(service, action)"
You may cancel your VIP membership at any time by calling 1-866-337-0906 (open 24/7).,Obstruction,"require_customer_service_interaction(service, action)"
You may cancel your membership at any time by calling us at at 855-861-2573 (6:00AM – 5:00PM PST) or by emailing support@luckytacklebox.com. California residents may also cancel your subscription by accessing your Account through the Site.,Obstruction,"require_customer_service_interaction(service, action)"
"You may cancel your Minted More membership at any time by contacting Minted Customer Service at www.minted.com/help. If you cancel your membership before your Minted More gift box has shipped, we will refund your full membership fee; provided that we may charge you (or withhold from your refund) the value of Minted More discount benefits used by you and your account prior to cancellation. If you cancel at any other time, your membership fee is non-refundable.",Obstruction,"require_customer_service_interaction(service, action)"
We may also disclose your information to third parties who may contact you with details of other products and services which may be of interest. If you do not want your name and mailing details made available in this way please email opt-out@nextdirect.com,Obstruction,"create_obstacle_for_privacy_settings(service, setting)"
We may also disclose your information to third parties who may contact you with details of other products and services which may be of interest. If you do not want your name and mailing details made available in this way please email opt-out@nextdirect.com,Obstruction,"create_obstacle_for_privacy_settings(service, setting)"
"When you join the PetPlus Plan, you are given the option to purchase your membership on an annual or monthly basis and you are automatically enrolled in our recurring billing program. You may cancel at any time by contacting our customer service team, but you will not be refunded for any unused days on your membership if you choose to cancel prior to the end of your billing cycle. You may cancel your PetPlus membership at any time without penalty if you have not utilized any of your PetPlus benefits (including discounts on products and/or services). For customers charged on a monthly basis, if you have purchased products or used services using your PetPlus benefits, we will charge a $25 administrative fee per membership cancellation if the membership is cancelled within three months of enrollment.",Obstruction,"require_customer_service_interaction(service, action)"
"ONLY $1.99 FOR YOUR FIRST SIX MONTHS, THEN EACH YEAR YOUR MEMBERSHIP WILL AUTOMATICALLY RENEW FOR $39.99 AND BE CHARGED TO YOUR CREDIT/DEBIT CARD ON FILE. CANCEL YOUR VIP MEMBERSHIP ANY TIME TO RECEIVE A PRORATED REFUND BY CALLING (800) 543-7309. BY SUBMITTING YOUR ORDER, YOU AGREE TO THESE VIP MEMBERSHIP TERMS.",Obstruction,"require_customer_service_interaction(service, action)"
"For more information about the VIP Rewards Club Membership, to purchase or terminate a membership, or to start or stop automatic renewal of a membership, contact Ross-Simons Customer Service by postal mail at: Ross-Simons, 9 Ross-Simons Drive, Cranston, Rhode Island 02920; or by email at customerservice@ross-simons.com; or by calling the VIP Rewards Club priority line at 800-835-3799.",Obstruction,"require_customer_service_interaction(service, action)"
"There's no obligation to buy as an Xtra VIP Member, nor is there any minimum number of months or commitment for membership. You can shop or ‘Skip’ by the 5th of each month, and you can cancel your membership at any time by calling (855) SAVAGEX (open 24/7).",Obstruction,"require_customer_service_interaction(service, action)"
You may cancel your VIP membership at any time by calling 1-866-337-0906 (open 24/7).,Obstruction,"require_customer_service_interaction(service, action)"
"YOU MAY CANCEL YOUR WINE CLUB MEMBERSHIP OR ANY HOLIDAY SHIPMENTS AT ANY TIME BY CONTACTING US AT 1-877-975-9463, AND WE WILL PROMPTLY STOP PROCESSING THE RECURRING PAYMENTS.",Obstruction,"require_customer_service_interaction(service, action)"
"How do I cancel my membership? We are confident you will enjoy your Premium Membership. If for any reason you are not completely satisfied within the first 30 days of your paid Annual Membership, we will refund 100% of your membership fee no questions asked. After 30 days we will refund your membership fee on a pro-rated basis. There are no refunds on Monthly Memberships. To obtain a refund, please contact us at 1-855-253-0822 or by email at wwgoasubscription@program-director.net.",Obstruction,"require_customer_service_interaction(service, action)"
"CANCELLATION POLICY: If you are not completely satisfied with Yogi Surprise, you can cancel your membership and discontinue your monthly payments at any time. In order to cancel before you are renewed for the next shipment, you need to contact Yogi Surprise prior to the renewal date on the 14th of each month. Email: support@yogisurprise.com and we’ll respond promptly. If your membership has already renewed and you’d like to cancel an upcoming shipment, you must request cancellation by the 3rd of the month to be eligible for a refund. IF YOU DO NOT CANCEL PRIOR TO THE THIRD DAY OF A CALENDAR MONTH, YOU CANNOT BE REFUNDED FOR THAT MONTH’S SHIPMENT. WE DO NOT OFFER REFUNDS ON BOXES THAT HAVE ALREADY BEEN SHIPPED. To request cancellation, simply click here and submit the contact form or email us: support@yogisurprise.com. We’ll get back to promptly!",Obstruction,"require_customer_service_interaction(service, action)"
Selling fast!,Scarcity,"inject_misleading_demand_message(ui_element, demand_message)"
"An item you ordered is in high demand. No worries, we have reserved your order.",Scarcity,"inject_misleading_demand_message(ui_element, demand_message)"
"An item you ordered is in high demand. No worries, we have reserved your order.",Scarcity,"inject_misleading_demand_message(ui_element, demand_message)"
"An item you ordered is in high demand. No worries, we have reserved your order.",Scarcity,"inject_misleading_demand_message(ui_element, demand_message)"
"An item you ordered is in high demand. No worries, we have reserved your order.",Scarcity,"inject_misleading_demand_message(ui_element, demand_message)"
"An item you ordered is in high demand. No worries, we have reserved your order.",Scarcity,"inject_misleading_demand_message(ui_element, demand_message)"
"An item you ordered is in high demand. No worries, we have reserved your order.",Scarcity,"inject_misleading_demand_message(ui_element, demand_message)"
"An item you ordered is in high demand. No worries, we have reserved your order.",Scarcity,"inject_misleading_demand_message(ui_element, demand_message)"
Will sell out fast!,Scarcity,"inject_misleading_demand_message(ui_element, demand_message)"
Strong demand! Complete your order before it's too late!,Scarcity,"inject_misleading_demand_message(ui_element, demand_message)"
"An item you ordered is in high demand. No worries, we have reserved your order.",Scarcity,"inject_misleading_demand_message(ui_element, demand_message)"
"An item you ordered is in high demand. No worries, we have reserved your order.",Scarcity,"inject_misleading_demand_message(ui_element, demand_message)"
Items in your cart are in VERY high-demand.,Scarcity,"inject_misleading_demand_message(ui_element, demand_message)"
"An item you ordered is in high demand. No worries, we have reserved your order.",Scarcity,"inject_misleading_demand_message(ui_element, demand_message)"
Items in your cart are in high demand.,Scarcity,"inject_misleading_demand_message(ui_element, demand_message)"
Extremely high demand: expect 2-4 weeks for it to arrive (to be safe). Limit 4 per person!,Scarcity,"inject_misleading_demand_message(ui_element, demand_message)"
"An item you ordered is in high demand. No worries, we have reserved your order.",Scarcity,"inject_misleading_demand_message(ui_element, demand_message)"
High demand,Scarcity,"simulate_high_demand(ui_element, sales_counter)"
HIGH DEMAND,Scarcity,"simulate_high_demand(ui_element, sales_counter)"
"An item you ordered is in high demand. No worries, we have prioritized your order.",Scarcity,"inject_misleading_demand_message(ui_element, demand_message)"
"An item you ordered is in high demand. No worries, we have reserved your order.",Scarcity,"inject_misleading_demand_message(ui_element, demand_message)"
This item is in high demand.,Scarcity,"inject_misleading_demand_message(ui_element, demand_message)"
"Sorry, this is out of stock. You just missed it.",Scarcity,"inject_misleading_demand_message(ui_element, demand_message)"
Items in your cart are selling fast,Scarcity,"inject_misleading_demand_message(ui_element, demand_message)"
"An item you ordered is in high demand. No worries, we have reserved your order.",Scarcity,"inject_misleading_demand_message(ui_element, demand_message)"
Items in your cart are in high demand. But we have reserved your order.,Scarcity,"inject_misleading_demand_message(ui_element, demand_message)"
"An item you ordered is in high demand. No worries, we have reserved your order.",Scarcity,"inject_misleading_demand_message(ui_element, demand_message)"
"An item you ordered is in high demand. No worries, we have reserved your order.",Scarcity,"inject_misleading_demand_message(ui_element, demand_message)"
"ONCE IT'S GONE, IT'S GONE",Scarcity,"inject_misleading_demand_message(ui_element, demand_message)"
"ONCE IT'S GONE, IT'S GONE",Scarcity,"inject_misleading_demand_message(ui_element, demand_message)"
"An item you ordered is in high demand. No worries, we have reserved your order.",Scarcity,"inject_misleading_demand_message(ui_element, demand_message)"
SELLING FAST! GET 10% OFF THIS ITEM. ACTIVATE NOW.,Scarcity,"inject_misleading_demand_message(ui_element, demand_message)"
"An item you ordered is in high demand. No worries, we have reserved your order.",Scarcity,"inject_misleading_demand_message(ui_element, demand_message)"
"Items in your cart are in high demand, but we have reserved your order.",Scarcity,"inject_misleading_demand_message(ui_element, demand_message)"
"Our items sell fast, don't miss out!",Scarcity,"inject_misleading_demand_message(ui_element, demand_message)"
"An item you ordered is in high demand. No worries, we have reserved your order.",Scarcity,"inject_misleading_demand_message(ui_element, demand_message)"
"An item you ordered is in high demand. No worries, we have reserved your order.",Scarcity,"inject_misleading_demand_message(ui_element, demand_message)"
"An item you ordered is in high demand. No worries, we have reserved your order.",Scarcity,"inject_misleading_demand_message(ui_element, demand_message)"
AN ITEM IN YOUR CART IS SELLING OUT QUICKLY,Scarcity,"inject_misleading_demand_message(ui_element, demand_message)"
IN HIGH DEMAND!,Scarcity,"inject_misleading_demand_message(ui_element, demand_message)"
"An item you ordered is in high demand. No worries, we have prioritized your order.",Scarcity,"inject_misleading_demand_message(ui_element, demand_message)"
"An item you ordered is in high demand. No worries, we have reserved your order.",Scarcity,"inject_misleading_demand_message(ui_element, demand_message)"
"Hurry, this style is selling fast!",Scarcity,"inject_misleading_demand_message(ui_element, demand_message)"
In demand,Scarcity,"inject_misleading_demand_message(ui_element, demand_message)"
"Due To HIGH Demand, Cart Expires In: 08:41",Scarcity,"inject_misleading_demand_message(ui_element, demand_message)"
Selling Fast,Scarcity,"simulate_high_demand(ui_element, sales_counter)"
"Hurry, this style is selling fast!",Scarcity,"inject_misleading_demand_message(ui_element, demand_message)"
Only 2 units left in stock,Scarcity,"display_fake_stock_counter(ui_element, stock_counter)"
Low Stock – Selling Fast,Scarcity,"inject_misleading_demand_message(ui_element, demand_message)"
Only 1 left in stock,Scarcity,"simulate_high_demand(ui_element, sales_counter)"
Limited Stock,Scarcity,"display_fake_stock_counter(ui_element, stock_counter)"
ONLY 4 LEFT IN STOCK,Scarcity,"simulate_high_demand(ui_element, sales_counter)"
Only 1 left,Scarcity,"inject_misleading_demand_message(ui_element, demand_message)"
4 items left,Scarcity,"display_fake_stock_counter(ui_element, stock_counter)"
Only 1 left,Scarcity,"inject_misleading_demand_message(ui_element, demand_message)"
Only 2 left in stock,Scarcity,"display_fake_stock_counter(ui_element, stock_counter)"
Only 2 left in stock,Scarcity,"display_fake_stock_counter(ui_element, stock_counter)"
Low In Stock Today,Scarcity,"inject_misleading_demand_message(ui_element, demand_message)"
Only 1 left in stock,Scarcity,"simulate_high_demand(ui_element, sales_counter)"
ONLY 3 LEFT IN STOCK.,Scarcity,"display_fake_stock_counter(ui_element, stock_counter)"
Only 9 items left!,Scarcity,"simulate_high_demand(ui_element, sales_counter)"
Only 4 left in stock,Scarcity,"display_fake_stock_counter(ui_element, stock_counter)"
"894 Claimed! Hurry, only a few left!",Scarcity,"inject_misleading_demand_message(ui_element, demand_message)"
Only 1 unit left in stock,Scarcity,"simulate_high_demand(ui_element, sales_counter)"
ONLY 1 LEFT! GET IT NOW!,Scarcity,"inject_misleading_demand_message(ui_element, demand_message)"
Limited Stock,Scarcity,"display_fake_stock_counter(ui_element, stock_counter)"
We have 1 left in stock,Scarcity,"display_fake_stock_counter(ui_element, stock_counter)"
Only 1 left!,Scarcity,"inject_misleading_demand_message(ui_element, demand_message)"
Only 15 left in stock,Scarcity,"display_fake_stock_counter(ui_element, stock_counter)"
Only 8 left in stock,Scarcity,"display_fake_stock_counter(ui_element, stock_counter)"
Only 3 left in stock,Scarcity,"display_fake_stock_counter(ui_element, stock_counter)"
Only 14 left in stock,Scarcity,"display_fake_stock_counter(ui_element, stock_counter)"
Only 1 items left,Scarcity,"display_fake_stock_counter(ui_element, stock_counter)"
89% offers claimed. Hurry up!,Scarcity,"inject_misleading_demand_message(ui_element, demand_message)"
ONLY 4 LEFT!,Scarcity,"display_fake_stock_counter(ui_element, stock_counter)"
HURRY! ONLY 19 LEFT IN STOCK.,Scarcity,"simulate_high_demand(ui_element, sales_counter)"
Only 1 left,Scarcity,"simulate_high_demand(ui_element, sales_counter)"
Only 1 left in stock,Scarcity,"simulate_high_demand(ui_element, sales_counter)"
"Order now, only 2 left in stock!",Scarcity,"simulate_high_demand(ui_element, sales_counter)"
Only 1 left in stock,Scarcity,"simulate_high_demand(ui_element, sales_counter)"
70% offers claimed. Hurry up!,Scarcity,"inject_misleading_demand_message(ui_element, demand_message)"
Low in stock: only 1 left.,Scarcity,"simulate_high_demand(ui_element, sales_counter)"
96 ITEM(S) LEFT IN STOCK!,Scarcity,"display_fake_stock_counter(ui_element, stock_counter)"
2 left in stock,Scarcity,"display_fake_stock_counter(ui_element, stock_counter)"
"Hurry, only 3 left!",Scarcity,"inject_misleading_demand_message(ui_element, demand_message)"
Only 1 left in stock!,Scarcity,"simulate_high_demand(ui_element, sales_counter)"
Less than 10 left in stock,Scarcity,"inject_misleading_demand_message(ui_element, demand_message)"
Availability: Low in stock today,Scarcity,"inject_misleading_demand_message(ui_element, demand_message)"
Limited Quantity,Scarcity,"simulate_high_demand(ui_element, sales_counter)"
Limited stock!,Scarcity,"simulate_high_demand(ui_element, sales_counter)"
HURRY! Only a few left in stock!,Scarcity,"inject_misleading_demand_message(ui_element, demand_message)"
80% offers claimed. Hurry up!,Scarcity,"inject_misleading_demand_message(ui_element, demand_message)"
Only 1 left,Scarcity,"inject_misleading_demand_message(ui_element, demand_message)"
70% offers claimed. Hurry up!,Scarcity,"inject_misleading_demand_message(ui_element, demand_message)"
Only 1 left in stock,Scarcity,"simulate_high_demand(ui_element, sales_counter)"
Only 11 left!,Scarcity,"display_fake_stock_counter(ui_element, stock_counter)"
Only 1 left!,Scarcity,"inject_misleading_demand_message(ui_element, demand_message)"
Only 14 left!,Scarcity,"display_fake_stock_counter(ui_element, stock_counter)"
Only 14 left!,Scarcity,"display_fake_stock_counter(ui_element, stock_counter)"
Pre-order 3 left,Scarcity,"inject_misleading_demand_message(ui_element, demand_message)"
Only 6 left,Scarcity,"display_fake_stock_counter(ui_element, stock_counter)"
70% offers claimed. Hurry up!,Scarcity,"inject_misleading_demand_message(ui_element, demand_message)"
Only 32 left in stock,Scarcity,"display_fake_stock_counter(ui_element, stock_counter)"
Only few items left in stock,Scarcity,"inject_misleading_demand_message(ui_element, demand_message)"
Only 2 left,Scarcity,"display_fake_stock_counter(ui_element, stock_counter)"
ONLY 1 LEFT IN STOCK!,Scarcity,"simulate_high_demand(ui_element, sales_counter)"
Only 2 left in stock,Scarcity,"display_fake_stock_counter(ui_element, stock_counter)"
Only 2 units left!,Scarcity,"inject_misleading_demand_message(ui_element, demand_message)"
ONLY 7 LEFT!,Scarcity,"simulate_high_demand(ui_element, sales_counter)"
Only 1 Left in this Size!,Scarcity,"inject_misleading_demand_message(ui_element, demand_message)"
There is only one product left!,Scarcity,"simulate_high_demand(ui_element, sales_counter)"
Limited Stock!,Scarcity,"inject_misleading_demand_message(ui_element, demand_message)"
Only 2 units left in stock,Scarcity,"display_fake_stock_counter(ui_element, stock_counter)"
Low in stock: only 1 left.,Scarcity,"simulate_high_demand(ui_element, sales_counter)"
Only 69 left!,Scarcity,"display_fake_stock_counter(ui_element, stock_counter)"
HURRY! ONLY 2 LEFT IN STOCK!,Scarcity,"inject_misleading_demand_message(ui_element, demand_message)"
83% offers claimed. Hurry up!,Scarcity,"inject_misleading_demand_message(ui_element, demand_message)"
ONLY 4 LEFT!,Scarcity,"display_fake_stock_counter(ui_element, stock_counter)"
Only 1 left In Stock,Scarcity,"inject_misleading_demand_message(ui_element, demand_message)"
Only 8 left,Scarcity,"display_fake_stock_counter(ui_element, stock_counter)"
Only 4 left at this price,Scarcity,"inject_misleading_demand_message(ui_element, demand_message)"
Only 1 unit left in stock,Scarcity,"simulate_high_demand(ui_element, sales_counter)"
90% offers claimed. Hurry up!,Scarcity,"inject_misleading_demand_message(ui_element, demand_message)"
Only 1 Left in Stock!,Scarcity,"inject_misleading_demand_message(ui_element, demand_message)"
Only 4 copies left,Scarcity,"display_fake_stock_counter(ui_element, stock_counter)"
Low in stock: only 1 left.,Scarcity,"simulate_high_demand(ui_element, sales_counter)"
Status:Only 3 left in stock,Scarcity,"display_fake_stock_counter(ui_element, stock_counter)"
87% offers claimed. Hurry up!,Scarcity,"inject_misleading_demand_message(ui_element, demand_message)"
Only 1 left,Scarcity,"simulate_high_demand(ui_element, sales_counter)"
9 items left,Scarcity,"display_fake_stock_counter(ui_element, stock_counter)"
70% offers claimed. Hurry up!,Scarcity,"inject_misleading_demand_message(ui_element, demand_message)"
6 items left! Order soon.,Scarcity,"inject_misleading_demand_message(ui_element, demand_message)"
Only 1 left in stock!,Scarcity,"simulate_high_demand(ui_element, sales_counter)"
HURRY ONLY 9 LEFT IN STOCK!,Scarcity,"inject_misleading_demand_message(ui_element, demand_message)"
Only 1 left in stock - Order soon,Scarcity,"simulate_high_demand(ui_element, sales_counter)"
*Only 2 left in stock. Don't miss out!,Scarcity,"simulate_high_demand(ui_element, sales_counter)"
Only 2 left in stock,Scarcity,"display_fake_stock_counter(ui_element, stock_counter)"
Limited stock!,Scarcity,"simulate_high_demand(ui_element, sales_counter)"
Only 3 left!,Scarcity,"display_fake_stock_counter(ui_element, stock_counter)"
Only one item left in stock!,Scarcity,"inject_misleading_demand_message(ui_element, demand_message)"
Only 1 item left,Scarcity,"inject_misleading_demand_message(ui_element, demand_message)"
Only one item left in stock!,Scarcity,"inject_misleading_demand_message(ui_element, demand_message)"
Only one item left in stock!,Scarcity,"inject_misleading_demand_message(ui_element, demand_message)"
Only 8 items left in stock!,Scarcity,"simulate_high_demand(ui_element, sales_counter)"
Only 82 left in stock!,Scarcity,"display_fake_stock_counter(ui_element, stock_counter)"
Only 4 left in stock,Scarcity,"display_fake_stock_counter(ui_element, stock_counter)"
Only 1 left in stock! Get in quick!,Scarcity,"inject_misleading_demand_message(ui_element, demand_message)"
LESS THAN 5 LEFT!,Scarcity,"inject_misleading_demand_message(ui_element, demand_message)"
1 LEFT,Scarcity,"display_fake_stock_counter(ui_element, stock_counter)"
3 items left,Scarcity,"display_fake_stock_counter(ui_element, stock_counter)"
Only 1 left!,Scarcity,"inject_misleading_demand_message(ui_element, demand_message)"
Only 1 Left,Scarcity,"inject_misleading_demand_message(ui_element, demand_message)"
Only 3 left in stock,Scarcity,"display_fake_stock_counter(ui_element, stock_counter)"
Only 9 Left!,Scarcity,"inject_misleading_demand_message(ui_element, demand_message)"
Only 14 left,Scarcity,"display_fake_stock_counter(ui_element, stock_counter)"
1 left at this price,Scarcity,"simulate_high_demand(ui_element, sales_counter)"
Only 3 left!,Scarcity,"display_fake_stock_counter(ui_element, stock_counter)"
23% left in stock!,Scarcity,"display_fake_stock_counter(ui_element, stock_counter)"
ONLY 1 LEFT! GET IT NOW!,Scarcity,"inject_misleading_demand_message(ui_element, demand_message)"
83% offers claimed. Hurry up!,Scarcity,"inject_misleading_demand_message(ui_element, demand_message)"
Only 5 left in stock,Scarcity,"display_fake_stock_counter(ui_element, stock_counter)"
Only 1 left,Scarcity,"simulate_high_demand(ui_element, sales_counter)"
Only 3 left,Scarcity,"display_fake_stock_counter(ui_element, stock_counter)"
Only 1 left in stock,Scarcity,"simulate_high_demand(ui_element, sales_counter)"
Only 1 left!,Scarcity,"inject_misleading_demand_message(ui_element, demand_message)"
Only 2 left!,Scarcity,"display_fake_stock_counter(ui_element, stock_counter)"
Only 1 Left!,Scarcity,"inject_misleading_demand_message(ui_element, demand_message)"
Only 1 Left!,Scarcity,"inject_misleading_demand_message(ui_element, demand_message)"
Only 34 Left!,Scarcity,"display_fake_stock_counter(ui_element, stock_counter)"
70% offers claimed. Hurry up!,Scarcity,"inject_misleading_demand_message(ui_element, demand_message)"
LOW IN STOCK!! GET YOURS NOW,Scarcity,"inject_misleading_demand_message(ui_element, demand_message)"
74% offers claimed. Hurry up!,Scarcity,"inject_misleading_demand_message(ui_element, demand_message)"
Only 5 left in stock,Scarcity,"display_fake_stock_counter(ui_element, stock_counter)"
1 LEFT IN THIS SIZE,Scarcity,"display_fake_stock_counter(ui_element, stock_counter)"
ONLY 3 LEFT! GET IT NOW!,Scarcity,"inject_misleading_demand_message(ui_element, demand_message)"
1 item left,Scarcity,"display_fake_stock_counter(ui_element, stock_counter)"
Please note all products are made in limited quantities and we rarely restock - checkout now so you don't miss out!,Scarcity,"inject_misleading_demand_message(ui_element, demand_message)"
"Hurry, only 1 left!",Scarcity,"inject_misleading_demand_message(ui_element, demand_message)"
Hurry! Only 2 left,Scarcity,"inject_misleading_demand_message(ui_element, demand_message)"
"HURRY, THERE ARE ONLY 9 ITEM(S) LEFT!",Scarcity,"inject_misleading_demand_message(ui_element, demand_message)"
Hurry! Only 1 left in stock,Scarcity,"inject_misleading_demand_message(ui_element, demand_message)"
Only 1 left in online stock,Scarcity,"display_fake_stock_counter(ui_element, stock_counter)"
Only 1 left in stock.,Scarcity,"simulate_high_demand(ui_element, sales_counter)"
Hurry! Only 1 left in stock,Scarcity,"inject_misleading_demand_message(ui_element, demand_message)"
"Size low on stock, only 1 item left",Scarcity,"inject_misleading_demand_message(ui_element, demand_message)"
Only 8 left!,Scarcity,"display_fake_stock_counter(ui_element, stock_counter)"
Hurry! Only 2 left at this price!,Scarcity,"inject_misleading_demand_message(ui_element, demand_message)"
ONLY 52 items left in stock!,Scarcity,"display_fake_stock_counter(ui_element, stock_counter)"
Over 500 left in stock,Scarcity,"display_fake_stock_counter(ui_element, stock_counter)"
Hurry only 8 items left!,Scarcity,"simulate_high_demand(ui_element, sales_counter)"
72% offers claimed. Hurry up!,Scarcity,"inject_misleading_demand_message(ui_element, demand_message)"
Only 1 Left !,Scarcity,"inject_misleading_demand_message(ui_element, demand_message)"
Only 1 items left in stock!,Scarcity,"display_fake_stock_counter(ui_element, stock_counter)"
Only 2 Left,Scarcity,"display_fake_stock_counter(ui_element, stock_counter)"
LIVE REMAINING STOCK,Scarcity,"display_fake_stock_counter(ui_element, stock_counter)"
HURRY! LESS THAN 129 LEFT.,Scarcity,"inject_misleading_demand_message(ui_element, demand_message)"
"Hurry, only a few left!",Scarcity,"inject_misleading_demand_message(ui_element, demand_message)"
Only 1 left in stock,Scarcity,"simulate_high_demand(ui_element, sales_counter)"
Only 9 left in stock,Scarcity,"display_fake_stock_counter(ui_element, stock_counter)"
Only 1 left.,Scarcity,"display_fake_stock_counter(ui_element, stock_counter)"
Only 7 in Stock!,Scarcity,"display_fake_stock_counter(ui_element, stock_counter)"
"Don't miss out, only 2 left in stock",Scarcity,"inject_misleading_demand_message(ui_element, demand_message)"
Only 5 left in stock,Scarcity,"display_fake_stock_counter(ui_element, stock_counter)"
Only 3 left in stock,Scarcity,"display_fake_stock_counter(ui_element, stock_counter)"
Only 4 left in stock,Scarcity,"display_fake_stock_counter(ui_element, stock_counter)"
Only 1 left in stock,Scarcity,"simulate_high_demand(ui_element, sales_counter)"
only 2 left in stock,Scarcity,"display_fake_stock_counter(ui_element, stock_counter)"
Limited Quantity Available,Scarcity,"inject_misleading_demand_message(ui_element, demand_message)"
Hurry! Only 3 Left In Stock.,Scarcity,"simulate_high_demand(ui_element, sales_counter)"
Hurry up! Only 11 items left,Scarcity,"inject_misleading_demand_message(ui_element, demand_message)"
Only 3 Left!,Scarcity,"display_fake_stock_counter(ui_element, stock_counter)"
ONLY 1 LEFT,Scarcity,"inject_misleading_demand_message(ui_element, demand_message)"
Only 3 left,Scarcity,"display_fake_stock_counter(ui_element, stock_counter)"
Only 2 stock available,Scarcity,"display_fake_stock_counter(ui_element, stock_counter)"
ONLY 2 LEFT IN STOCK!,Scarcity,"simulate_high_demand(ui_element, sales_counter)"
5 items left,Scarcity,"display_fake_stock_counter(ui_element, stock_counter)"
Only 1 left in stock!,Scarcity,"simulate_high_demand(ui_element, sales_counter)"
"Hurry, only 2 left in stock!",Scarcity,"simulate_high_demand(ui_element, sales_counter)"
Only 1 left!,Scarcity,"inject_misleading_demand_message(ui_element, demand_message)"
Hurry! Only a few of these left,Scarcity,"inject_misleading_demand_message(ui_element, demand_message)"
Hurry Up! Only 1 Piece Left,Scarcity,"inject_misleading_demand_message(ui_element, demand_message)"
Only 1 left,Scarcity,"inject_misleading_demand_message(ui_element, demand_message)"
Only 8 left,Scarcity,"display_fake_stock_counter(ui_element, stock_counter)"
"Hurry, only 1 left!",Scarcity,"inject_misleading_demand_message(ui_element, demand_message)"
Only 5 left in stock,Scarcity,"display_fake_stock_counter(ui_element, stock_counter)"
Hurry only 1 left!,Scarcity,"inject_misleading_demand_message(ui_element, demand_message)"
Only 1 Item(s) left,Scarcity,"inject_misleading_demand_message(ui_element, demand_message)"
1 left in stock,Scarcity,"display_fake_stock_counter(ui_element, stock_counter)"
Only 1 left in stock,Scarcity,"simulate_high_demand(ui_element, sales_counter)"
Only 33 left,Scarcity,"display_fake_stock_counter(ui_element, stock_counter)"
70% offers claimed. Hurry up!,Scarcity,"inject_misleading_demand_message(ui_element, demand_message)"
ONLY 5 LEFT IN STOCK,Scarcity,"display_fake_stock_counter(ui_element, stock_counter)"
ONLY 1 LEFT IN THIS SIZE,Scarcity,"inject_misleading_demand_message(ui_element, demand_message)"
ONLY 5 LEFT,Scarcity,"display_fake_stock_counter(ui_element, stock_counter)"
Only 3 Left in Stock!,Scarcity,"display_fake_stock_counter(ui_element, stock_counter)"
(Only 5 Left),Scarcity,"display_fake_stock_counter(ui_element, stock_counter)"
Only 6 left,Scarcity,"display_fake_stock_counter(ui_element, stock_counter)"
Only 3 left in stock!,Scarcity,"display_fake_stock_counter(ui_element, stock_counter)"
Last 1 in stock,Scarcity,"display_fake_stock_counter(ui_element, stock_counter)"
Only 16531 items left in stock!,Scarcity,"display_fake_stock_counter(ui_element, stock_counter)"
Only 1 left in stock!,Scarcity,"simulate_high_demand(ui_element, sales_counter)"
